Source;Target;Relationship type;Pääluokka;Alaluokka;Tapaus_ID
3090;144;1–5;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);38
3090;245;1–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);38
144;245;5–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);38
871;455;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
871;668;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
871;2631;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
871;1196;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
871;2028;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
871;3261;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
871;2723;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
871;2523;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
871;2855;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
871;2309;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
871;421;1–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
455;668;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
455;2631;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
455;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
455;2028;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
455;3261;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
455;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
455;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
455;2855;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
455;2309;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
455;421;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
668;2631;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
668;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
668;2028;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
668;3261;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
668;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
668;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
668;2855;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
668;2309;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
668;421;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2631;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2631;2028;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2631;3261;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2631;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2631;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2631;2855;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2631;2309;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2631;421;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
1196;2028;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
1196;3261;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
1196;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
1196;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
1196;2855;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
1196;2309;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
1196;421;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2028;3261;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2028;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2028;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2028;2855;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2028;2309;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2028;421;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
3261;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
3261;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
3261;2855;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
3261;2309;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
3261;421;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2723;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2723;2855;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2723;2309;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2723;421;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2523;2855;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2523;2309;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2523;421;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2855;2309;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2855;421;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
2309;421;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;39
1862;3090;1–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);40
1862;3261;1–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);40
1862;1255;1–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);40
1862;2539;1–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);40
3090;3261;3–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);40
3090;1255;3–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);40
3090;2539;3–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);40
3261;1255;3–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);40
3261;2539;3–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);40
1255;2539;2–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);40
2631;871;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
2631;2267;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
2631;3261;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
2631;668;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
2631;1196;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
2631;2723;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
2631;334;1–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
871;2267;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
871;3261;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
871;668;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
871;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
871;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
871;334;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
2267;3261;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
2267;668;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
2267;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
2267;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
2267;334;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
3261;668;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
3261;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
3261;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
3261;334;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
668;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
668;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
668;334;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
1196;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
1196;334;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
2723;334;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;41
1424;248;1–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);42
1424;46;1–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);42
1424;871;1–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);42
1424;1196;1–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);42
1424;686;1–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);42
248;46;3–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);42
248;871;3–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);42
248;1196;3–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);42
248;686;3–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);42
46;871;3–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);42
46;1196;3–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);42
46;686;3–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);42
871;1196;3–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);42
871;686;3–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);42
1196;686;3–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);42
2580;2866;1–5;Hallinto- ja ilmoitusasiat;Muut hallinto- ja ilmoitusasiat;43
2580;1074;1–2;Hallinto- ja ilmoitusasiat;Muut hallinto- ja ilmoitusasiat;43
2580;686;1–2;Hallinto- ja ilmoitusasiat;Muut hallinto- ja ilmoitusasiat;43
2866;1074;5–2;Hallinto- ja ilmoitusasiat;Muut hallinto- ja ilmoitusasiat;43
2866;686;5–2;Hallinto- ja ilmoitusasiat;Muut hallinto- ja ilmoitusasiat;43
1074;686;2–2;Hallinto- ja ilmoitusasiat;Muut hallinto- ja ilmoitusasiat;43
2823;26;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2823;2855;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2823;1285;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2823;3090;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2823;1196;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2823;871;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2823;2523;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2823;1486;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2823;2028;1–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
26;2855;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
26;1285;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
26;3090;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
26;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
26;871;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
26;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
26;1486;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
26;2028;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2855;1285;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2855;3090;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2855;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2855;871;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2855;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2855;1486;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2855;2028;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
1285;3090;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
1285;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
1285;871;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
1285;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
1285;1486;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
1285;2028;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
3090;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
3090;871;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
3090;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
3090;1486;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
3090;2028;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
1196;871;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
1196;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
1196;1486;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
1196;2028;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
871;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
871;1486;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
871;2028;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2523;1486;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2523;2028;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
1486;2028;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;44
2058;455;1–4;Vahingonkorvaukset;Kotieläinten vahingot;48
2058;3235;1–4;Vahingonkorvaukset;Kotieläinten vahingot;48
2058;2926;1–4;Vahingonkorvaukset;Kotieläinten vahingot;48
2058;1771;1–2;Vahingonkorvaukset;Kotieläinten vahingot;48
455;3235;4–4;Vahingonkorvaukset;Kotieläinten vahingot;48
455;2926;4–4;Vahingonkorvaukset;Kotieläinten vahingot;48
455;1771;4–2;Vahingonkorvaukset;Kotieläinten vahingot;48
3235;2926;4–4;Vahingonkorvaukset;Kotieläinten vahingot;48
3235;1771;4–2;Vahingonkorvaukset;Kotieläinten vahingot;48
2926;1771;4–2;Vahingonkorvaukset;Kotieläinten vahingot;48
455;871;3–3;Verorästit;Alaluokka_Verorästit;49
455;2631;3–3;Verorästit;Alaluokka_Verorästit;49
455;2723;3–3;Verorästit;Alaluokka_Verorästit;49
455;2322;3–2;Verorästit;Alaluokka_Verorästit;49
871;2631;3–3;Verorästit;Alaluokka_Verorästit;49
871;2723;3–3;Verorästit;Alaluokka_Verorästit;49
871;2322;3–2;Verorästit;Alaluokka_Verorästit;49
2631;2723;3–3;Verorästit;Alaluokka_Verorästit;49
2631;2322;3–2;Verorästit;Alaluokka_Verorästit;49
2723;2322;3–2;Verorästit;Alaluokka_Verorästit;49
1760;2316;1–1;Velat ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);50
1760;46;1–2;Velat ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);50
2316;46;1–2;Velat ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);50
2580;163;1–1;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;51
2580;1572;1–2;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;51
163;1572;1–2;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;51
1416;1485;1–5;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;52
1416;2542;1–5;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;52
1416;2281;1–2;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;52
1416;2236;1–2;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;52
1485;2542;5–5;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;52
1485;2281;5–2;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;52
1485;2236;5–2;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;52
2542;2281;5–2;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;52
2542;2236;5–2;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;52
