Id;Label;Arvo
3246;Eskil Jönsson Ulmanen;
3251;Jöns Ulmanen;
3255;Nils Ulmanen;
3261;Påhl Jönsson Ulmanen;Lautamies
3266;Anders Nilsson Utriainen;
3267;Anders Olofsson Utriainen;
3268;Anders Utriainen;
3269;Bertil Utriainen;
3271;Christer Christersson Utriainen;
3272;Christer Utriainen;
3278;Nils Andersson Utriainen;
3279;Nils Nilsson Utriainen;
3280;Nils Olofsson Utriainen;
3281;Nils Utriainen;
3282;Olof Utriainen;
3283;Pehr Utriainen;
3287;Utrialaboar;
3347;Påhl Väisänen;
3350;Staphan Väisänen;
3351;Valborg Väisänen;
3363;Olof Påhlsson Väyrynen;
3367;Mats Väänänen;
3369;Hans Väätäinen;
3377;Olof Yletyinen;
3381;Zacharias Zachariasson;Vouti
3385;Olof Påhlsson Kolehmainen;
3386;Fänrik Löfdring;
3387;Pehr Kärkkäisen vaimo;
3388;Pehr Tijle;
3389;Visa Kärkkäinen;
3390;Anders Huttunen leski;
3391;Erik Perhsson Savolainen;
3393;Lars Matsson Hynninen;
3394;Pehr Pehrsson Hyvärinen vaimo;
3395;Nyslotboar;
3396;Erik Hiltunen leski;
3397;Sihvolaboar;
3398;Påhl Kekkonen;
3399;Daniel Andersson Niskanen;
3400;Tuntematon nainen;Irtolainen
